country,province_state,date,deaths_day
Afghanistan,,2020-01-22,0
Albania,,2020-01-22,0
Algeria,,2020-01-22,0
Andorra,,2020-01-22,0
Angola,,2020-01-22,0
"Antigua and Barbuda",,2020-01-22,0
Argentina,,2020-01-22,0
Armenia,,2020-01-22,0
Australia,"Australian Capital Territory",2020-01-22,0
Australia,"New South Wales",2020-01-22,0
Australia,"Northern Territory",2020-01-22,0
Australia,Queensland,2020-01-22,0
Australia,"South Australia",2020-01-22,0
Australia,Tasmania,2020-01-22,0
Australia,Victoria,2020-01-22,0
Australia,"Western Australia",2020-01-22,0
Austria,,2020-01-22,0
Azerbaijan,,2020-01-22,0
Bahamas,,2020-01-22,0
Bahrain,,2020-01-22,0
Bangladesh,,2020-01-22,0
Barbados,,2020-01-22,0
Belarus,,2020-01-22,0
Belgium,,2020-01-22,0
Benin,,2020-01-22,0
Bhutan,,2020-01-22,0
Bolivia,,2020-01-22,0
"Bosnia and Herzegovina",,2020-01-22,0
Brazil,,2020-01-22,0
Brunei,,2020-01-22,0
Bulgaria,,2020-01-22,0
"Burkina Faso",,2020-01-22,0
"Cabo Verde",,2020-01-22,0
Cambodia,,2020-01-22,0
Cameroon,,2020-01-22,0
Canada,Alberta,2020-01-22,0
Canada,"British Columbia",2020-01-22,0
Canada,"Grand Princess",2020-01-22,0
Canada,Manitoba,2020-01-22,0
Canada,"New Brunswick",2020-01-22,0
Canada,"Newfoundland and Labrador",2020-01-22,0
Canada,"Nova Scotia",2020-01-22,0
Canada,Ontario,2020-01-22,0
Canada,"Prince Edward Island",2020-01-22,0
Canada,Quebec,2020-01-22,0
Canada,Saskatchewan,2020-01-22,0
"Central African Republic",,2020-01-22,0
Chad,,2020-01-22,0
Chile,,2020-01-22,0
China,Anhui,2020-01-22,0
China,Beijing,2020-01-22,0
China,Chongqing,2020-01-22,0
China,Fujian,2020-01-22,0
China,Gansu,2020-01-22,0
China,Guangdong,2020-01-22,0
China,Guangxi,2020-01-22,0
China,Guizhou,2020-01-22,0
China,Hainan,2020-01-22,0
China,Hebei,2020-01-22,0
China,Heilongjiang,2020-01-22,0
China,Henan,2020-01-22,0
China,"Hong Kong",2020-01-22,0
China,Hubei,2020-01-22,0
China,Hunan,2020-01-22,0
China,"Inner Mongolia",2020-01-22,0
China,Jiangsu,2020-01-22,0
